 P1(4): d+c+b+a
 P1777(8): b*!c*!d+a*!c*!d+!a*!b*d+a*b*d+c*d
 P1778(8): !a*!c*!d+!a*!b*d+a*b*!c+c*d
 P1779(8): b*!c*!d+!a*!b*d+a*b*d+c*d
 P1782(7): !a*!b*!c+a*b*!c+c*d
 P1783(7): !a*!b*d+a*b*!c+c*d
 P1784(8): !b*!c*!d+!a*!c*!d+!a*!b*d+a*b*d+c*d
 P1785(8): a*!b*!c*!d+!a*b*!c*!d+!a*!b*d+a*b*d+c*d
 P1786(8): !a*!c*!d+!a*!b*d+a*b*d+c*d
 P1787(8): !a*b*!c*!d+!a*!b*d+a*b*d+c*d
 P1790(7): a*b*d+!a*!b*!c+c*d
 P1791(6): !a*!b*d+a*b*d+c*d
 P1910(8): !a*!b*!c*!d+c*d+a*b
 P1911(4): c*d+a*b
 P1912(8): !b*!c*!d+!a*!c*!d+a*b*d+a*b*c+c*d
 P1913(8): a*!b*!c*!d+!a*b*!c*!d+a*b*d+a*b*c+c*d
 P1914(7): !a*!c*!d+a*b*d+a*b*c+c*d
 P1915(7): !a*b*!c*!d+a*b*d+a*b*c+c*d
 P1918(8): !a*!b*!c*!d+a*b*d+a*b*c+c*d
 P1919(4): a*b*d+a*b*c+c*d
 P1920(8): a*b*!c+!b*!d+!a*!d+c*d
 P1921(8): a*!c*!d+!a*b*!d+a*b*d+c*d+!b*c
 P1922(8): a*b*!c+!a*!d+c*d+!b*c
 P1923(8): b*!c*!d+a*b*d+!b*c+!a*c
 P1926(8): !a*!b*!d+a*b*!c+c*d+!b*c+!a*c
 P1927(7): a*b*!c+c*d+!b*c+!a*c
 P1928(7): a*b*d+!b*!d+!a*!d+c*d
 P1929(7): a*!b*!d+!a*b*!d+a*b*d+c*d+!b*c
 P1930(7): a*b*d+!a*!d+c*d+!b*c
 P1931(7): !a*b*!d+a*b*d+c*d+!b*c
 P1934(7): !a*!b*!d+a*b*d+!b*c+!a*c
 P1935(6): a*b*d+!b*c+!a*c
 P1936(8): a*!b*!d+!a*b*!d+a*b*d+!c*!d+c*d
 P1937(8): a*!c*!d+a*!b*!d+!a*b*!d+a*b*d+c*d
 P1938(8): !a*!c*!d+!a*b*!d+a*b*!c+a*!b*c+c*d
 P1939(8): b*!c*!d+!a*b*!d+a*b*d+a*!b*c+c*d
 P1942(8): !a*!b*!c*!d+a*b*!c+a*!b*c+!a*b*c+c*d
 P1943(7): a*b*!c+a*!b*c+!a*b*c+c*d
 P1944(8): !b*!c*!d+!a*b*!d+a*b*d+a*!b*c+c*d
 P1945(7): a*!b*!d+!a*b*!d+a*b*d+c*d
 P1946(8): !a*!c*!d+a*b*d+a*!b*c+!a*b*c+c*d
 P1947(7): !a*b*!d+a*b*d+a*!b*c+c*d
 P1950(8): !a*!b*!c*!d+a*b*d+a*!b*c+!a*b*c+c*d
 P1951(6): a*b*d+a*!b*c+!a*b*c+c*d
 P1952(7): a*b*d+!c*!d+!a*!d+c*d
 P1953(7): a*!c*!d+!a*b*!d+a*b*d+c*d+!a*c
 P1954(7): a*b*!c+!a*!d+c*d
 P1955(7): b*!c*!d+a*b*d+c*d+!a*c
 P1956(8): !b*!c*!d+a*b*!c+c*d+!a*c
 P1957(7): a*!c*!d+a*b*d+c*d+!a*c
 P1958(8): !a*!b*!d+a*b*!c+c*d+!a*c
 P1959(6): a*b*!c+c*d+!a*c
 P1960(8): !b*!c*!d+a*b*d+!a*!d+c*d
 P1961(8): a*!b*!c*!d+!a*b*!d+a*b*d+c*d+!a*c
 P1962(6): a*b*d+!a*!d+c*d
 P1963(6): !a*b*!d+a*b*d+c*d+!a*c
 P1964(8): !b*!c*!d+a*b*d+c*d+!a*c
 P1965(8): a*!b*!c*!d+a*b*d+c*d+!a*c
 P1966(7): !a*!b*!d+a*b*d+c*d+!a*c
 P1967(5): a*b*d+c*d+!a*c
 P1968(7): !a*b*!d+a*b*d+!c*!d+c*d
 P1969(7): a*!c*!d+!a*b*!d+a*b*d+c*d
 P1970(7): !a*!c*!d+!a*b*!d+a*b*!c+c*d
 P1971(7): b*!c*!d+!a*b*!d+a*b*d+c*d
 P1972(8): !b*!c*!d+a*b*!c+!a*b*c+c*d
 P1973(7): a*!c*!d+a*b*d+!a*b*c+c*d
 P1974(8): !a*!b*!c*!d+a*b*!c+!a*b*c+c*d
 P1975(6): a*b*!c+!a*b*c+c*d
 P1976(8): !b*!c*!d+!a*b*!d+a*b*d+c*d
 P1977(8): a*!b*!c*!d+!a*b*!d+a*b*d+c*d
 P1978(7): !a*!c*!d+!a*b*!d+a*b*d+c*d
 P1979(6): !a*b*!d+a*b*d+c*d
 P1980(8): !b*!c*!d+a*b*d+!a*b*c+c*d
 P1981(8): a*!b*!c*!d+a*b*d+!a*b*c+c*d
 P1982(8): !a*!b*!c*!d+a*b*d+!a*b*c+c*d
 P1983(5): a*b*d+!a*b*c+c*d
 P2016(8): a*b*d+!a*!b*c+!c*!d+c*d
 P2017(8): b*!c*!d+a*!c*!d+a*b*d+!a*!b*c+c*d
 P2018(8): !a*!c*!d+a*b*!c+!a*!b*c+c*d
 P2019(8): b*!c*!d+a*b*d+!a*!b*c+c*d
 P2022(8): !a*!b*!d+a*b*!c+c*d
 P2023(7): a*b*!c+!a*!b*c+c*d
 P2024(8): !b*!c*!d+!a*!c*!d+a*b*d+!a*!b*c+c*d
 P2025(8): a*!b*!c*!d+!a*b*!c*!d+a*b*d+!a*!b*c+c*d
 P2026(8): !a*!c*!d+a*b*d+!a*!b*c+c*d
 P2027(8): !a*b*!c*!d+a*b*d+!a*!b*c+c*d
 P2030(7): !a*!b*!d+a*b*d+c*d
 P2031(6): a*b*d+!a*!b*c+c*d
 P2032(6): a*b*d+!c*!d+c*d
 P2033(6): b*!c*!d+a*!c*!d+a*b*d+c*d
 P2034(7): !a*!c*!d+a*b*!c+c*d
 P2035(6): b*!c*!d+a*b*d+c*d
 P2038(8): !a*!b*!c*!d+a*b*!c+c*d
 P2039(5): a*b*!c+c*d
 P2040(8): !b*!c*!d+!a*!c*!d+a*b*d+c*d
 P2041(8): a*!b*!c*!d+!a*b*!c*!d+a*b*d+c*d
 P2042(7): !a*!c*!d+a*b*d+c*d
 P2043(7): !a*b*!c*!d+a*b*d+c*d
 P2046(8): !a*!b*!c*!d+a*b*d+c*d
 P2047(4): a*b*d+c*d
 P2176(6): !c*!d+c*d+!b+!a
 P2177(8): a*!c*!d+c*d+!b*d+!b*c+!a*b
 P2178(7): b*!c*!d+c*d+!b*d+!b*c+!a
 P2179(7): b*!c*!d+c*d+!b*d+!b*c+!a*b
 P2182(8): a*b*!c*!d+c*d+!b*d+!a*d+!b*c+!a*c+!a*!b
 P2183(8): a*b*!c*!d+c*d+!b*d+!a*d+!b*c+!a*c
 P2184(4): c*d+!b+!a
 P2185(6): c*d+!b*d+!b*c+a*!b+!a*b
 P2186(4): c*d+!b*d+!b*c+!a
 P2187(5): c*d+!b*d+!b*c+!a*b
 P2190(4): c*d+!b*d+!a*d+!b*c+!a*c+!a*!b
 P2191(4): c*d+!b*d+!a*d+!b*c+!a*c
 P2192(8): !c*!d+c*d+!b*d+a*!b+!a*b
 P2193(8): b*!c*!d+c*d+!b*d+a*!b+!a*b
 P2194(8): b*!c*!d+a*!b*c+c*d+!b*d+!a*!c+!a*b
 P2195(8): b*!c*!d+a*!b*c+c*d+!b*d+!a*b
 P2198(8): a*b*!c*!d+!a*!b*!c+a*!b*c+!a*b*c+c*d+!b*d+!a*d
 P2199(8): a*b*!c*!d+a*!b*c+!a*b*c+c*d+!b*d+!a*d
 P2200(7): c*d+!b*!c+a*!b+!a*b
 P2201(6): c*d+!b*d+a*!b+!a*b
 P2202(7): a*!b*c+c*d+!b*d+!a*!c+!a*b
 P2203(6): a*!b*c+c*d+!b*d+!a*b
 P2206(7): !a*!b*!c+a*!b*c+!a*b*c+c*d+!b*d+!a*d
 P2207(6): a*!b*c+!a*b*c+c*d+!b*d+!a*d
 P2208(6): !c*!d+c*d+!b*d+!a
 P2209(8): a*!c*!d+c*d+!b*d+!a*c+!a*b
 P2210(7): b*!c*!d+c*d+!b*d+!a
 P2211(7): b*!c*!d+c*d+!b*d+!a*d+!a*c
 P2212(7): a*!c*!d+c*d+!a*d+!b*!c+!a*c
 P2213(7): a*!c*!d+c*d+!b*d+!a*d+!a*c
 P2214(8): a*b*!c*!d+c*d+!b*d+!a*d+!a*c+!a*!b
 P2215(8): a*b*!c*!d+c*d+!b*d+!a*d+!a*c
 P2216(5): c*d+!b*!c+!a
 P2217(7): a*!b*!c+c*d+!b*d+!a*c+!a*b
 P2218(4): c*d+!b*d+!a
 P2219(5): c*d+!b*d+!a*c+!a*b
 P2220(5): c*d+!a*d+!b*!c+!a*c
 P2221(6): a*!b*!c+c*d+!a*d+!a*c
 P2222(4): c*d+!b*d+!a*d+!a*c+!a*!b
 P2223(4): c*d+!b*d+!a*d+!a*c
 P2224(7): !c*!d+c*d+!b*d+!a*b
 P2225(8): a*!c*!d+c*d+!b*d+!a*b
 P2226(7): b*!c*!d+c*d+!b*d+!a*!c+!a*b
 P2227(7): b*!c*!d+c*d+!b*d+!a*b
 P2228(8): a*!c*!d+!a*b*c+c*d+!a*d+!b*!c
 P2229(8): a*!c*!d+!a*b*c+c*d+!b*d+!a*d
 P2230(8): a*b*!c*!d+!a*!b*!c+!a*b*c+c*d+!b*d+!a*d
 P2231(8): a*b*!c*!d+!a*b*c+c*d+!b*d+!a*d
 P2232(6): c*d+!b*!c+!a*b
 P2233(7): a*!b*!c+c*d+!b*d+!a*b
 P2234(6): c*d+!b*d+!a*!c+!a*b
 P2235(5): c*d+!b*d+!a*b
 P2236(6): !a*b*c+c*d+!a*d+!b*!c
 P2237(7): a*!b*!c+!a*b*c+c*d+!a*d
 P2238(6): !a*!b*!c+!a*b*c+c*d+!b*d+!a*d
 P2239(5): !a*b*c+c*d+!b*d+!a*d
 P2272(6): !c*!d+c*d+!b*d+!a*d+!a*!b
 P2273(8): a*!c*!d+!a*b*!c+!a*!b*c+c*d+!b*d
 P2274(7): b*!c*!d+c*d+!b*d+!a*d+!a*!b
 P2275(7): b*!c*!d+!a*!b*c+c*d+!b*d+!a*d
 P2278(8): a*b*!c*!d+c*d+!b*d+!a*d+!a*!b
 P2279(8): a*b*!c*!d+!a*!b*c+c*d+!b*d+!a*d
 P2280(5): c*d+!b*!c+!a*!c+!a*!b
 P2281(7): a*!b*!c+!a*b*!c+!a*!b*c+c*d+!b*d
 P2282(5): c*d+!b*d+!a*!c+!a*!b
 P2283(6): !a*b*!c+!a*!b*c+c*d+!b*d
 P2286(4): c*d+!b*d+!a*d+!a*!b
 P2287(4): !a*!b*c+c*d+!b*d+!a*d
 P2288(6): !c*!d+c*d+!b*d+!a*d
 P2289(8): a*!c*!d+!a*b*!c+c*d+!b*d
 P2290(7): b*!c*!d+c*d+!b*d+!a*!c
 P2291(7): b*!c*!d+c*d+!b*d+!a*d
 P2294(8): a*b*!c*!d+!a*!b*!c+c*d+!b*d+!a*d
 P2295(8): a*b*!c*!d+c*d+!b*d+!a*d
 P2296(5): c*d+!b*!c+!a*!c
 P2297(7): a*!b*!c+!a*b*!c+c*d+!b*d
 P2298(5): c*d+!b*d+!a*!c
 P2299(6): !a*b*!c+c*d+!b*d
 P2302(5): !a*!b*!c+c*d+!b*d+!a*d
 P2303(4): c*d+!b*d+!a*d
 P2448(8): !c*!d+c*d+a*!b+!a*b
 P2449(8): b*!c*!d+c*d+a*!b+!a*b
 P2450(8): b*!c*!d+!a*!c*!d+a*!b*d+a*!b*c+c*d+!a*b
 P2451(8): b*!c*!d+a*!b*d+a*!b*c+c*d+!a*b
 P2454(8): !a*!b*!c*!d+a*b*!c*!d+a*!b*d+!a*b*d+a*!b*c+!a*b*c+c*d
 P2455(8): a*b*!c*!d+a*!b*d+!a*b*d+a*!b*c+!a*b*c+c*d
 P2456(8): !b*!c*!d+c*d+a*!b+!a*b
 P2457(6): c*d+a*!b+!a*b
 P2458(8): !a*!c*!d+a*!b*d+a*!b*c+c*d+!a*b
 P2459(6): a*!b*d+a*!b*c+c*d+!a*b
 P2462(8): !a*!b*!c*!d+a*!b*d+!a*b*d+a*!b*c+!a*b*c+c*d
 P2463(6): a*!b*d+!a*b*d+a*!b*c+!a*b*c+c*d
 P2464(8): a*!b*d+!c*!d+!a*!d+c*d+!a*b
 P2465(8): a*!c*!d+a*!b*d+c*d+!a*c+!a*b
 P2466(8): b*!c*!d+a*!b*d+!a*!d+c*d+!a*b
 P2467(8): b*!c*!d+a*!b*d+c*d+!a*c+!a*b
 P2468(8): a*!c*!d+!a*!b*!d+a*!b*d+!a*b*d+c*d+!a*c
 P2469(8): a*!c*!d+a*!b*d+!a*b*d+c*d+!a*c
 P2470(8): a*b*!c*!d+!a*!b*!d+a*!b*d+!a*b*d+c*d+!a*c
 P2471(8): a*b*!c*!d+a*!b*d+!a*b*d+c*d+!a*c
 P2472(8): a*!b*!c+!a*!d+c*d+!a*b
 P2473(7): a*!b*!c+c*d+!a*c+!a*b
 P2474(7): a*!b*d+!a*!d+c*d+!a*b
 P2475(6): a*!b*d+c*d+!a*c+!a*b
 P2476(8): !b*!c*!d+a*!b*d+!a*b*d+c*d+!a*c
 P2477(7): !a*b*d+a*!b*!c+c*d+!a*c
 P2478(7): !a*!b*!d+a*!b*d+!a*b*d+c*d+!a*c
 P2479(6): a*!b*d+!a*b*d+c*d+!a*c
 P2480(8): a*!b*d+!c*!d+c*d+!a*b
 P2481(8): a*!c*!d+a*!b*d+c*d+!a*b
 P2482(8): b*!c*!d+!a*!c*!d+a*!b*d+c*d+!a*b
 P2483(8): b*!c*!d+a*!b*d+c*d+!a*b
 P2484(8): !b*!c*!d+a*!c*!d+a*!b*d+!a*b*d+!a*b*c+c*d
 P2485(8): a*!c*!d+a*!b*d+!a*b*d+!a*b*c+c*d
 P2486(8): !a*!b*!c*!d+a*b*!c*!d+a*!b*d+!a*b*d+!a*b*c+c*d
 P2487(8): a*b*!c*!d+a*!b*d+!a*b*d+!a*b*c+c*d
 P2488(8): !b*!c*!d+a*!b*d+c*d+!a*b
 P2489(7): a*!b*!c+c*d+!a*b
 P2490(8): !a*!c*!d+a*!b*d+c*d+!a*b
 P2491(6): a*!b*d+c*d+!a*b
 P2492(8): !b*!c*!d+a*!b*d+!a*b*d+!a*b*c+c*d
 P2493(7): !a*b*d+a*!b*!c+!a*b*c+c*d
 P2494(8): !a*!b*!c*!d+a*!b*d+!a*b*d+!a*b*c+c*d
 P2495(6): a*!b*d+!a*b*d+!a*b*c+c*d
 P2528(8): !a*!b*!d+a*!b*d+!a*b*d+!c*!d+c*d
 P2529(8): a*!c*!d+a*!b*d+!a*b*!c+!a*!b*c+c*d
 P2530(8): b*!c*!d+!a*!b*!d+a*!b*d+!a*b*d+c*d
 P2531(8): b*!c*!d+a*!b*d+!a*b*d+!a*!b*c+c*d
 P2534(8): a*b*!c*!d+!a*!b*!d+a*!b*d+!a*b*d+c*d
 P2535(8): a*b*!c*!d+a*!b*d+!a*b*d+!a*!b*c+c*d
 P2536(8): !b*!c*!d+!a*!b*!d+a*!b*d+!a*b*!c+c*d
 P2537(7): a*!b*!c+!a*b*!c+!a*!b*c+c*d
 P2538(8): !a*!c*!d+!a*!b*!d+a*!b*d+!a*b*d+c*d
 P2539(7): a*!b*d+!a*b*!c+!a*!b*c+c*d
 P2542(7): !a*!b*!d+a*!b*d+!a*b*d+c*d
 P2543(6): a*!b*d+!a*b*d+!a*!b*c+c*d
 P2544(8): a*!b*d+!a*b*d+!c*!d+c*d
 P2545(8): a*!c*!d+a*!b*d+!a*b*!c+c*d
 P2546(8): b*!c*!d+!a*!c*!d+a*!b*d+!a*b*d+c*d
 P2547(8): b*!c*!d+a*!b*d+!a*b*d+c*d
 P2550(8): !a*!b*!c*!d+a*b*!c*!d+a*!b*d+!a*b*d+c*d
 P2551(8): a*b*!c*!d+a*!b*d+!a*b*d+c*d
 P2552(8): !b*!c*!d+a*!b*d+!a*b*!c+c*d
 P2553(7): a*!b*!c+!a*b*!c+c*d
 P2554(8): !a*!c*!d+a*!b*d+!a*b*d+c*d
 P2555(7): a*!b*d+!a*b*!c+c*d
 P2558(8): !a*!b*!c*!d+a*!b*d+!a*b*d+c*d
 P2559(6): a*!b*d+!a*b*d+c*d
 P2720(5): !c*!d+c*d+!a
 P2721(7): a*!c*!d+c*d+!a*d+!a*c+!a*b
 P2722(6): b*!c*!d+c*d+!a
 P2723(6): b*!c*!d+c*d+!a*d+!a*c
 P2724(7): a*!c*!d+c*d+!a*d+!a*c+!a*!b
 P2725(6): a*!c*!d+c*d+!a*d+!a*c
 P2726(8): a*b*!c*!d+c*d+!a*d+!a*c+!a*!b
 P2727(7): a*b*!c*!d+c*d+!a*d+!a*c
 P2728(6): !b*!c*!d+c*d+!a
 P2729(8): a*!b*!c*!d+c*d+!a*d+!a*c+!a*b
 P2730(3): c*d+!a
 P2731(4): c*d+!a*d+!a*c+!a*b
 P2732(6): !b*!c*!d+c*d+!a*d+!a*c
 P2733(7): a*!b*!c*!d+c*d+!a*d+!a*c
 P2734(4): c*d+!a*d+!a*c+!a*!b
 P2735(3): c*d+!a*d+!a*c
 P2736(6): !c*!d+c*d+!a*d+!a*b
 P2737(7): a*!c*!d+c*d+!a*d+!a*b
 P2738(6): b*!c*!d+c*d+!a*!c+!a*b
 P2739(6): b*!c*!d+c*d+!a*d+!a*b
 P2740(8): a*!c*!d+!a*!b*!c+!a*b*c+c*d+!a*d
 P2741(7): a*!c*!d+!a*b*c+c*d+!a*d
 P2742(8): a*b*!c*!d+!a*!b*!c+!a*b*c+c*d+!a*d
 P2743(7): a*b*!c*!d+!a*b*c+c*d+!a*d
 P2744(7): !b*!c*!d+c*d+!a*d+!a*b
 P2745(8): a*!b*!c*!d+c*d+!a*d+!a*b
 P2746(5): c*d+!a*!c+!a*b
 P2747(4): c*d+!a*d+!a*b
 P2748(7): !b*!c*!d+!a*b*c+c*d+!a*d
 P2749(8): a*!b*!c*!d+!a*b*c+c*d+!a*d
 P2750(6): !a*!b*!c+!a*b*c+c*d+!a*d
 P2751(4): !a*b*c+c*d+!a*d
 P2752(6): !c*!d+!b*!d+c*d+!a*d
 P2753(8): a*!c*!d+!a*b*!c+c*d+!a*d+!b*c
 P2754(7): b*!c*!d+c*d+!a*!c+!b*c
 P2755(7): b*!c*!d+c*d+!a*d+!b*c
 P2758(8): a*b*!c*!d+c*d+!a*d+!b*c+!a*!b
 P2759(8): a*b*!c*!d+c*d+!a*d+!b*c
 P2760(6): !b*!d+c*d+!a*!c
 P2761(8): a*!b*!d+!a*b*!c+c*d+!a*d+!b*c
 P2762(5): c*d+!a*!c+!b*c
 P2763(6): !a*b*!c+c*d+!a*d+!b*c
 P2766(4): c*d+!a*d+!b*c+!a*!b
 P2767(4): c*d+!a*d+!b*c
 P2768(7): a*!b*c+!c*!d+c*d+!a*d
 P2769(8): a*!c*!d+!a*b*!c+a*!b*c+c*d+!a*d
 P2770(8): b*!c*!d+a*!b*c+c*d+!a*!c
 P2771(8): b*!c*!d+a*!b*c+c*d+!a*d
 P2772(7): a*!c*!d+!a*!b*!c+a*!b*c+c*d+!a*d
 P2773(7): a*!c*!d+a*!b*c+c*d+!a*d
 P2774(8): a*b*!c*!d+!a*!b*!c+a*!b*c+c*d+!a*d
 P2775(8): a*b*!c*!d+a*!b*c+c*d+!a*d
 P2776(7): a*!b*!d+c*d+!a*!c
 P2777(8): a*!b*!d+!a*b*!c+c*d+!a*d
 P2778(6): a*!b*c+c*d+!a*!c
 P2779(7): !a*b*!c+a*!b*c+c*d+!a*d
 P2780(7): !b*!c*!d+a*!b*c+c*d+!a*d
 P2781(6): a*!b*!d+c*d+!a*d
 P2782(6): !a*!b*!c+a*!b*c+c*d+!a*d
 P2783(5): a*!b*c+c*d+!a*d
 P2784(6): !c*!d+c*d+!a*d+!a*!b
 P2785(8): a*!c*!d+!a*b*!c+!a*!b*c+c*d+!a*d
 P2786(7): b*!c*!d+c*d+!a*d+!a*!b
 P2787(7): b*!c*!d+!a*!b*c+c*d+!a*d
 P2788(7): a*!c*!d+c*d+!a*d+!a*!b
 P2789(7): a*!c*!d+!a*!b*c+c*d+!a*d
 P2790(8): a*b*!c*!d+c*d+!a*d+!a*!b
 P2791(8): a*b*!c*!d+!a*!b*c+c*d+!a*d
 P2792(6): !b*!c*!d+c*d+!a*!c+!a*!b
 P2793(8): a*!b*!c*!d+!a*b*!c+!a*!b*c+c*d+!a*d
 P2794(5): c*d+!a*!c+!a*!b
 P2795(6): !a*b*!c+!a*!b*c+c*d+!a*d
 P2796(6): !b*!c*!d+c*d+!a*d+!a*!b
 P2797(7): a*!b*!c*!d+!a*!b*c+c*d+!a*d
 P2798(4): c*d+!a*d+!a*!b
 P2799(4): !a*!b*c+c*d+!a*d
 P2800(5): !c*!d+c*d+!a*d
 P2801(7): a*!c*!d+!a*b*!c+c*d+!a*d
 P2802(6): b*!c*!d+c*d+!a*!c
 P2803(6): b*!c*!d+c*d+!a*d
 P2804(7): a*!c*!d+!a*!b*!c+c*d+!a*d
 P2805(6): a*!c*!d+c*d+!a*d
 P2806(8): a*b*!c*!d+!a*!b*!c+c*d+!a*d
 P2807(7): a*b*!c*!d+c*d+!a*d
 P2808(6): !b*!c*!d+c*d+!a*!c
 P2809(8): a*!b*!c*!d+!a*b*!c+c*d+!a*d
 P2810(4): c*d+!a*!c
 P2811(5): !a*b*!c+c*d+!a*d
 P2812(6): !b*!c*!d+c*d+!a*d
 P2813(7): a*!b*!c*!d+c*d+!a*d
 P2814(5): !a*!b*!c+c*d+!a*d
 P2815(3): c*d+!a*d
 P2992(6): !c*!d+c*d+!a*b
 P2993(7): a*!c*!d+c*d+!a*b
 P2994(6): b*!c*!d+!a*!c*!d+c*d+!a*b
 P2995(6): b*!c*!d+c*d+!a*b
 P2996(8): !b*!c*!d+a*!c*!d+!a*b*d+!a*b*c+c*d
 P2997(7): a*!c*!d+!a*b*d+!a*b*c+c*d
 P2998(8): !a*!b*!c*!d+a*b*!c*!d+!a*b*d+!a*b*c+c*d
 P2999(7): a*b*!c*!d+!a*b*d+!a*b*c+c*d
 P3000(7): !b*!c*!d+c*d+!a*b
 P3001(8): a*!b*!c*!d+c*d+!a*b
 P3002(6): !a*!c*!d+c*d+!a*b
 P3003(4): c*d+!a*b
 P3004(7): !b*!c*!d+!a*b*d+!a*b*c+c*d
 P3005(8): a*!b*!c*!d+!a*b*d+!a*b*c+c*d
 P3006(7): !a*!b*!c*!d+!a*b*d+!a*b*c+c*d
 P3007(4): !a*b*d+!a*b*c+c*d
 P3024(8): !a*b*d+a*!b*c+!c*!d+c*d
 P3025(8): a*!c*!d+!a*b*!c+a*!b*c+c*d
 P3026(8): b*!c*!d+!a*!c*!d+!a*b*d+a*!b*c+c*d
 P3027(8): b*!c*!d+!a*b*d+a*!b*c+c*d
 P3030(8): !a*!b*!c*!d+a*b*!c*!d+!a*b*d+a*!b*c+c*d
 P3031(8): a*b*!c*!d+!a*b*d+a*!b*c+c*d
 P3032(8): !b*!c*!d+!a*b*!c+a*!b*c+c*d
 P3033(8): a*!b*!d+!a*b*!c+c*d
 P3034(8): !a*!c*!d+!a*b*d+a*!b*c+c*d
 P3035(7): !a*b*!c+a*!b*c+c*d
 P3038(8): !a*!b*!c*!d+!a*b*d+a*!b*c+c*d
 P3039(6): !a*b*d+a*!b*c+c*d
 P3040(7): !a*!b*!d+!a*b*d+!c*!d+c*d
 P3041(8): a*!c*!d+!a*b*!c+!a*!b*c+c*d
 P3042(7): b*!c*!d+!a*!b*!d+!a*b*d+c*d
 P3043(7): b*!c*!d+!a*b*d+!a*!b*c+c*d
 P3044(8): a*!c*!d+!a*!b*!d+!a*b*d+c*d
 P3045(8): a*!c*!d+!a*b*d+!a*!b*c+c*d
 P3046(8): a*b*!c*!d+!a*!b*!d+!a*b*d+c*d
 P3047(8): a*b*!c*!d+!a*b*d+!a*!b*c+c*d
 P3048(7): !b*!c*!d+!a*!b*!d+!a*b*!c+c*d
 P3049(8): a*!b*!c*!d+!a*b*!c+!a*!b*c+c*d
 P3050(7): !a*!c*!d+!a*!b*!d+!a*b*d+c*d
 P3051(6): !a*b*!c+!a*!b*c+c*d
 P3052(7): !b*!c*!d+!a*!b*!d+!a*b*d+c*d
 P3053(8): a*!b*!c*!d+!a*b*d+!a*!b*c+c*d
 P3054(6): !a*!b*!d+!a*b*d+c*d
 P3055(5): !a*b*d+!a*!b*c+c*d
 P3056(6): !a*b*d+!c*!d+c*d
 P3057(7): a*!c*!d+!a*b*!c+c*d
 P3058(6): b*!c*!d+!a*!c*!d+!a*b*d+c*d
 P3059(6): b*!c*!d+!a*b*d+c*d
 P3060(8): !b*!c*!d+a*!c*!d+!a*b*d+c*d
 P3061(7): a*!c*!d+!a*b*d+c*d
 P3062(8): !a*!b*!c*!d+a*b*!c*!d+!a*b*d+c*d
 P3063(7): a*b*!c*!d+!a*b*d+c*d
 P3064(7): !b*!c*!d+!a*b*!c+c*d
 P3065(8): a*!b*!c*!d+!a*b*!c+c*d
 P3066(6): !a*!c*!d+!a*b*d+c*d
 P3067(5): !a*b*!c+c*d
 P3068(7): !b*!c*!d+!a*b*d+c*d
 P3069(8): a*!b*!c*!d+!a*b*d+c*d
 P3070(7): !a*!b*!c*!d+!a*b*d+c*d
 P3071(4): !a*b*d+c*d
 P3808(6): !c*!d+c*d+!a*!b
 P3809(8): b*!c*!d+a*!c*!d+!a*!b*d+!a*!b*c+c*d
 P3810(7): b*!c*!d+c*d+!a*!b
 P3811(7): b*!c*!d+!a*!b*d+!a*!b*c+c*d
 P3814(8): a*b*!c*!d+c*d+!a*!b
 P3815(8): a*b*!c*!d+!a*!b*d+!a*!b*c+c*d
 P3816(6): !b*!c*!d+!a*!c*!d+c*d+!a*!b
 P3817(8): a*!b*!c*!d+!a*b*!c*!d+!a*!b*d+!a*!b*c+c*d
 P3818(6): !a*!c*!d+c*d+!a*!b
 P3819(7): !a*b*!c*!d+!a*!b*d+!a*!b*c+c*d
 P3822(4): c*d+!a*!b
 P3823(4): !a*!b*d+!a*!b*c+c*d
 P3824(6): !a*!b*d+!c*!d+c*d
 P3825(8): b*!c*!d+a*!c*!d+!a*!b*d+c*d
 P3826(7): b*!c*!d+!a*!b*!c+c*d
 P3827(7): b*!c*!d+!a*!b*d+c*d
 P3830(8): a*b*!c*!d+!a*!b*!c+c*d
 P3831(8): a*b*!c*!d+!a*!b*d+c*d
 P3832(6): !b*!c*!d+!a*!c*!d+!a*!b*d+c*d
 P3833(8): a*!b*!c*!d+!a*b*!c*!d+!a*!b*d+c*d
 P3834(6): !a*!c*!d+!a*!b*d+c*d
 P3835(7): !a*b*!c*!d+!a*!b*d+c*d
 P3838(5): !a*!b*!c+c*d
 P3839(4): !a*!b*d+c*d
 P4080(4): !c*!d+c*d
 P4081(6): b*!c*!d+a*!c*!d+c*d
 P4082(6): b*!c*!d+!a*!c*!d+c*d
 P4083(5): b*!c*!d+c*d
 P4086(8): !a*!b*!c*!d+a*b*!c*!d+c*d
 P4087(6): a*b*!c*!d+c*d
 P4088(6): !b*!c*!d+!a*!c*!d+c*d
 P4089(8): a*!b*!c*!d+!a*b*!c*!d+c*d
 P4090(5): !a*!c*!d+c*d
 P4091(6): !a*b*!c*!d+c*d
 P4094(6): !a*!b*!c*!d+c*d
 P4095(2): c*d
 P5736(8): !b*!c*!d+!a*!c*!d+!a*!b*!d+b*c*d+a*c*d+a*b*d+!a*!b*!c+a*b*c
 P5737(8): a*!b*!c*!d+!a*b*!c*!d+!a*!b*c*!d+!a*!b*!c*d+b*c*d+a*c*d+a*b*d+a*b*c
